state,district,month,bio_age_5_17,bio_age_17_,dataset
Arunachal Pradesh,Upper Siang,2025-02,80,7,biometric
Arunachal Pradesh,Upper Siang,2025-03,93,9,biometric
Arunachal Pradesh,Upper Siang,2025-04,57,15,biometric
Arunachal Pradesh,Upper Siang,2025-05,18,2,biometric
Arunachal Pradesh,Upper Siang,2025-06,33,7,biometric
Arunachal Pradesh,Upper Siang,2025-07,11,9,biometric
Arunachal Pradesh,Upper Siang,2025-08,24,1,biometric
Arunachal Pradesh,Upper Siang,2025-09,23,7,biometric
Arunachal Pradesh,Upper Siang,2025-10,22,9,biometric
Arunachal Pradesh,Upper Siang,2025-11,17,7,biometric
Arunachal Pradesh,Upper Siang,2025-12,21,4,biometric
Arunachal Pradesh,Upper Subansiri,2025-01,1377,1309,biometric
Arunachal Pradesh,Upper Subansiri,2025-02,12,6,biometric
Arunachal Pradesh,Upper Subansiri,2025-03,59,21,biometric
Arunachal Pradesh,Upper Subansiri,2025-04,82,18,biometric
Arunachal Pradesh,Upper Subansiri,2025-05,55,15,biometric
Arunachal Pradesh,Upper Subansiri,2025-06,62,18,biometric
Arunachal Pradesh,Upper Subansiri,2025-07,48,6,biometric
Arunachal Pradesh,Upper Subansiri,2025-08,42,25,biometric
Arunachal Pradesh,Upper Subansiri,2025-09,21,11,biometric
Arunachal Pradesh,Upper Subansiri,2025-10,41,11,biometric
Arunachal Pradesh,Upper Subansiri,2025-11,51,19,biometric
Arunachal Pradesh,Upper Subansiri,2025-12,54,23,biometric
Arunachal Pradesh,West Kameng,2025-01,1259,2387,biometric
Arunachal Pradesh,West Kameng,2025-02,97,50,biometric
Arunachal Pradesh,West Kameng,2025-03,100,39,biometric
Arunachal Pradesh,West Kameng,2025-04,80,59,biometric
Arunachal Pradesh,West Kameng,2025-05,46,49,biometric
Arunachal Pradesh,West Kameng,2025-06,24,20,biometric
Arunachal Pradesh,West Kameng,2025-07,22,23,biometric
Arunachal Pradesh,West Kameng,2025-08,69,30,biometric
Arunachal Pradesh,West Kameng,2025-09,62,35,biometric
Arunachal Pradesh,West Kameng,2025-10,97,19,biometric
Arunachal Pradesh,West Kameng,2025-11,118,36,biometric
Arunachal Pradesh,West Kameng,2025-12,134,32,biometric
Arunachal Pradesh,West Siang,2025-01,1279,914,biometric
Arunachal Pradesh,West Siang,2025-02,42,11,biometric
Arunachal Pradesh,West Siang,2025-03,89,26,biometric
Arunachal Pradesh,West Siang,2025-04,175,26,biometric
Arunachal Pradesh,West Siang,2025-05,81,7,biometric
Arunachal Pradesh,West Siang,2025-06,97,10,biometric
Arunachal Pradesh,West Siang,2025-07,126,6,biometric
Arunachal Pradesh,West Siang,2025-08,65,9,biometric
Arunachal Pradesh,West Siang,2025-09,60,16,biometric
Arunachal Pradesh,West Siang,2025-10,112,18,biometric
Arunachal Pradesh,West Siang,2025-11,99,14,biometric
Arunachal Pradesh,West Siang,2025-12,170,18,biometric
Assam,Bajali,2025-01,0,2,biometric
Assam,Bajali,2025-03,1,1,biometric
Assam,Bajali,2025-04,1,2,biometric
Assam,Bajali,2025-05,0,1,biometric
Assam,Bajali,2025-08,1,2,biometric
Assam,Bajali,2025-09,1,0,biometric
Assam,Baksa,2025-01,7021,2612,biometric
Assam,Baksa,2025-02,161,79,biometric
Assam,Baksa,2025-03,175,86,biometric
Assam,Baksa,2025-04,240,112,biometric
Assam,Baksa,2025-05,183,86,biometric
Assam,Baksa,2025-06,180,82,biometric
Assam,Baksa,2025-07,163,73,biometric
Assam,Baksa,2025-08,344,98,biometric
Assam,Baksa,2025-09,138,76,biometric
Assam,Baksa,2025-10,218,81,biometric
Assam,Baksa,2025-11,224,88,biometric
Assam,Baksa,2025-12,163,98,biometric
Assam,Barpeta,2025-01,35808,11115,biometric
Assam,Barpeta,2025-02,1069,500,biometric
Assam,Barpeta,2025-03,835,647,biometric
Assam,Barpeta,2025-04,1474,812,biometric
Assam,Barpeta,2025-05,906,561,biometric
Assam,Barpeta,2025-06,970,634,biometric
Assam,Barpeta,2025-07,700,382,biometric
Assam,Barpeta,2025-08,1441,639,biometric
Assam,Barpeta,2025-09,1166,505,biometric
Assam,Barpeta,2025-10,1189,412,biometric
Assam,Barpeta,2025-11,1247,493,biometric
Assam,Barpeta,2025-12,753,448,biometric
Assam,Biswanath,2025-01,3612,1574,biometric
Assam,Biswanath,2025-02,124,44,biometric
Assam,Biswanath,2025-03,140,45,biometric
Assam,Biswanath,2025-04,154,37,biometric
Assam,Biswanath,2025-05,140,48,biometric
Assam,Biswanath,2025-06,139,48,biometric
Assam,Biswanath,2025-07,67,27,biometric
Assam,Biswanath,2025-08,99,44,biometric
Assam,Biswanath,2025-09,99,42,biometric
Assam,Biswanath,2025-10,81,39,biometric
Assam,Biswanath,2025-11,92,53,biometric
Assam,Biswanath,2025-12,151,33,biometric
Assam,Bongaigaon,2025-01,13412,5698,biometric
Assam,Bongaigaon,2025-02,491,171,biometric
Assam,Bongaigaon,2025-03,350,197,biometric
Assam,Bongaigaon,2025-04,411,211,biometric
Assam,Bongaigaon,2025-05,309,175,biometric
Assam,Bongaigaon,2025-06,287,181,biometric
Assam,Bongaigaon,2025-07,198,116,biometric
Assam,Bongaigaon,2025-08,430,191,biometric
Assam,Bongaigaon,2025-09,325,149,biometric
Assam,Bongaigaon,2025-10,417,147,biometric
Assam,Bongaigaon,2025-11,404,196,biometric
Assam,Bongaigaon,2025-12,397,146,biometric
Assam,Cachar,2025-01,22568,12777,biometric
Assam,Cachar,2025-02,796,351,biometric
Assam,Cachar,2025-03,869,361,biometric
Assam,Cachar,2025-04,968,377,biometric
Assam,Cachar,2025-05,616,300,biometric
Assam,Cachar,2025-06,758,307,biometric
Assam,Cachar,2025-07,359,236,biometric
Assam,Cachar,2025-08,851,387,biometric
Assam,Cachar,2025-09,902,359,biometric
Assam,Cachar,2025-10,741,361,biometric
Assam,Cachar,2025-11,786,436,biometric
Assam,Cachar,2025-12,767,369,biometric
Assam,Charaideo,2025-01,3057,1150,biometric
Assam,Charaideo,2025-02,60,24,biometric
Assam,Charaideo,2025-03,96,47,biometric
Assam,Charaideo,2025-04,159,51,biometric
Assam,Charaideo,2025-05,107,24,biometric
Assam,Charaideo,2025-06,131,25,biometric
Assam,Charaideo,2025-07,65,27,biometric
Assam,Charaideo,2025-08,102,43,biometric
Assam,Charaideo,2025-09,232,33,biometric
Assam,Charaideo,2025-10,225,36,biometric
Assam,Charaideo,2025-11,186,41,biometric
Assam,Charaideo,2025-12,81,31,biometric
Assam,Chirang,2025-01,10120,3673,biometric
Assam,Chirang,2025-02,244,146,biometric
Assam,Chirang,2025-03,319,149,biometric
Assam,Chirang,2025-04,542,212,biometric
Assam,Chirang,2025-05,256,116,biometric
Assam,Chirang,2025-06,252,161,biometric
Assam,Chirang,2025-07,197,77,biometric
Assam,Chirang,2025-08,394,167,biometric
Assam,Chirang,2025-09,242,148,biometric
Assam,Chirang,2025-10,312,190,biometric
Assam,Chirang,2025-11,325,202,biometric
Assam,Chirang,2025-12,281,148,biometric
Assam,Darrang,2025-01,8845,5182,biometric
Assam,Darrang,2025-02,313,137,biometric
Assam,Darrang,2025-03,230,140,biometric
Assam,Darrang,2025-04,287,208,biometric
Assam,Darrang,2025-05,244,150,biometric
Assam,Darrang,2025-06,332,152,biometric
Assam,Darrang,2025-07,183,95,biometric
Assam,Darrang,2025-08,394,175,biometric
Assam,Darrang,2025-09,256,145,biometric
Assam,Darrang,2025-10,321,165,biometric
Assam,Darrang,2025-11,320,168,biometric
Assam,Darrang,2025-12,291,119,biometric
Assam,Dhemaji,2025-01,6271,3804,biometric
Assam,Dhemaji,2025-02,237,125,biometric
Assam,Dhemaji,2025-03,295,170,biometric
Assam,Dhemaji,2025-04,334,156,biometric
Assam,Dhemaji,2025-05,188,76,biometric
Assam,Dhemaji,2025-06,246,115,biometric
Assam,Dhemaji,2025-07,120,63,biometric
Assam,Dhemaji,2025-08,231,137,biometric
Assam,Dhemaji,2025-09,178,97,biometric
Assam,Dhemaji,2025-10,253,99,biometric
Assam,Dhemaji,2025-11,305,131,biometric
Assam,Dhemaji,2025-12,367,112,biometric
Assam,Dhubri,2025-01,25092,8686,biometric
Assam,Dhubri,2025-02,540,247,biometric
Assam,Dhubri,2025-03,689,362,biometric
Assam,Dhubri,2025-04,890,390,biometric
Assam,Dhubri,2025-05,565,289,biometric
Assam,Dhubri,2025-06,697,334,biometric
Assam,Dhubri,2025-07,351,196,biometric
Assam,Dhubri,2025-08,595,314,biometric
Assam,Dhubri,2025-09,623,300,biometric
Assam,Dhubri,2025-10,560,276,biometric
Assam,Dhubri,2025-11,591,286,biometric
Assam,Dhubri,2025-12,603,301,biometric
Assam,Dibrugarh,2025-01,9534,8946,biometric
Assam,Dibrugarh,2025-02,177,80,biometric
Assam,Dibrugarh,2025-03,268,110,biometric
Assam,Dibrugarh,2025-04,275,138,biometric
Assam,Dibrugarh,2025-05,187,96,biometric
Assam,Dibrugarh,2025-06,222,110,biometric
Assam,Dibrugarh,2025-07,145,69,biometric
Assam,Dibrugarh,2025-08,349,162,biometric
Assam,Dibrugarh,2025-09,265,111,biometric
Assam,Dibrugarh,2025-10,256,117,biometric
Assam,Dibrugarh,2025-11,241,117,biometric
Assam,Dibrugarh,2025-12,261,118,biometric
Assam,Dima Hasao,2025-01,1,0,biometric
Assam,Dima Hasao,2025-04,1,0,biometric
Assam,Dima Hasao,2025-05,0,1,biometric
Assam,Dima Hasao,2025-06,0,1,biometric
Assam,Dima Hasao,2025-08,1,1,biometric
Assam,Dima Hasao,2025-09,0,1,biometric
Assam,Dima Hasao,2025-11,1,2,biometric
Assam,Goalpara,2025-01,7533,4329,biometric
Assam,Goalpara,2025-02,321,149,biometric
Assam,Goalpara,2025-03,344,199,biometric
Assam,Goalpara,2025-04,481,264,biometric
Assam,Goalpara,2025-05,264,178,biometric
Assam,Goalpara,2025-06,419,195,biometric
Assam,Goalpara,2025-07,200,107,biometric
Assam,Goalpara,2025-08,451,270,biometric
Assam,Goalpara,2025-09,347,168,biometric
Assam,Goalpara,2025-10,346,181,biometric
Assam,Goalpara,2025-11,294,179,biometric
Assam,Goalpara,2025-12,341,182,biometric
Assam,Golaghat,2025-01,5097,4070,biometric
Assam,Golaghat,2025-02,272,88,biometric
Assam,Golaghat,2025-03,282,123,biometric
Assam,Golaghat,2025-04,381,155,biometric
Assam,Golaghat,2025-05,224,102,biometric
Assam,Golaghat,2025-06,360,128,biometric
Assam,Golaghat,2025-07,196,59,biometric
Assam,Golaghat,2025-08,338,111,biometric
Assam,Golaghat,2025-09,390,96,biometric
Assam,Golaghat,2025-10,381,146,biometric
Assam,Golaghat,2025-11,369,149,biometric
Assam,Golaghat,2025-12,387,144,biometric
Assam,Hailakandi,2025-01,7631,3092,biometric
Assam,Hailakandi,2025-02,279,96,biometric
Assam,Hailakandi,2025-03,231,110,biometric
Assam,Hailakandi,2025-04,360,164,biometric
Assam,Hailakandi,2025-05,184,90,biometric
Assam,Hailakandi,2025-06,283,97,biometric
Assam,Hailakandi,2025-07,100,68,biometric
Assam,Hailakandi,2025-08,317,119,biometric
Assam,Hailakandi,2025-09,348,110,biometric
Assam,Hailakandi,2025-10,307,111,biometric
Assam,Hailakandi,2025-11,300,130,biometric
Assam,Hailakandi,2025-12,308,114,biometric
Assam,Hojai,2025-01,7777,6498,biometric
Assam,Hojai,2025-02,274,178,biometric
Assam,Hojai,2025-03,300,239,biometric
Assam,Hojai,2025-04,304,220,biometric
Assam,Hojai,2025-05,267,243,biometric
Assam,Hojai,2025-06,301,230,biometric
Assam,Hojai,2025-07,157,110,biometric
Assam,Hojai,2025-08,336,228,biometric
Assam,Hojai,2025-09,218,195,biometric
Assam,Hojai,2025-10,262,213,biometric
Assam,Hojai,2025-11,334,260,biometric
Assam,Hojai,2025-12,251,214,biometric
Assam,Jorhat,2025-01,4817,2844,biometric
Assam,Jorhat,2025-02,193,53,biometric
Assam,Jorhat,2025-03,187,91,biometric
Assam,Jorhat,2025-04,228,104,biometric
Assam,Jorhat,2025-05,173,65,biometric
Assam,Jorhat,2025-06,193,78,biometric
Assam,Jorhat,2025-07,141,61,biometric
Assam,Jorhat,2025-08,241,96,biometric
Assam,Jorhat,2025-09,170,43,biometric
Assam,Jorhat,2025-10,247,81,biometric
Assam,Jorhat,2025-11,271,88,biometric
Assam,Jorhat,2025-12,221,87,biometric
Assam,Kamrup,2025-01,18217,6447,biometric
Assam,Kamrup,2025-02,523,193,biometric
Assam,Kamrup,2025-03,501,231,biometric
Assam,Kamrup,2025-04,643,285,biometric
Assam,Kamrup,2025-05,373,219,biometric
Assam,Kamrup,2025-06,523,209,biometric
Assam,Kamrup,2025-07,295,132,biometric
Assam,Kamrup,2025-08,485,222,biometric
Assam,Kamrup,2025-09,465,175,biometric
Assam,Kamrup,2025-10,636,204,biometric
Assam,Kamrup,2025-11,497,234,biometric
Assam,Kamrup,2025-12,414,184,biometric
Assam,Kamrup Metro,2025-01,9177,7459,biometric
Assam,Kamrup Metro,2025-02,207,151,biometric
Assam,Kamrup Metro,2025-03,198,182,biometric
Assam,Kamrup Metro,2025-04,233,229,biometric
Assam,Kamrup Metro,2025-05,162,167,biometric
Assam,Kamrup Metro,2025-06,266,197,biometric
Assam,Kamrup Metro,2025-07,119,95,biometric
Assam,Kamrup Metro,2025-08,258,188,biometric
Assam,Kamrup Metro,2025-09,158,196,biometric
Assam,Kamrup Metro,2025-10,223,168,biometric
Assam,Kamrup Metro,2025-11,232,225,biometric
Assam,Kamrup Metro,2025-12,212,194,biometric
Assam,Karbi Anglong,2025-01,10765,5671,biometric
Assam,Karbi Anglong,2025-02,915,256,biometric
Assam,Karbi Anglong,2025-03,712,305,biometric
Assam,Karbi Anglong,2025-04,832,329,biometric
Assam,Karbi Anglong,2025-05,678,304,biometric
Assam,Karbi Anglong,2025-06,667,274,biometric
Assam,Karbi Anglong,2025-07,657,190,biometric
Assam,Karbi Anglong,2025-08,823,350,biometric
Assam,Karbi Anglong,2025-09,493,238,biometric
Assam,Karbi Anglong,2025-10,569,279,biometric
Assam,Karbi Anglong,2025-11,485,274,biometric
Assam,Karbi Anglong,2025-12,551,325,biometric
Assam,Karimganj,2025-01,8187,4988,biometric
Assam,Karimganj,2025-02,719,165,biometric
Assam,Karimganj,2025-03,658,209,biometric
Assam,Karimganj,2025-04,735,257,biometric
Assam,Karimganj,2025-05,446,200,biometric
Assam,Karimganj,2025-06,615,184,biometric
Assam,Karimganj,2025-07,365,123,biometric
Assam,Karimganj,2025-08,730,244,biometric
Assam,Karimganj,2025-09,721,205,biometric
Assam,Karimganj,2025-10,610,169,biometric
Assam,Karimganj,2025-11,756,250,biometric
Assam,Karimganj,2025-12,848,200,biometric
Assam,Kokrajhar,2025-01,12812,5017,biometric
Assam,Kokrajhar,2025-02,169,107,biometric
Assam,Kokrajhar,2025-03,271,180,biometric
Assam,Kokrajhar,2025-04,299,188,biometric
Assam,Kokrajhar,2025-05,234,138,biometric
Assam,Kokrajhar,2025-06,226,154,biometric
Assam,Kokrajhar,2025-07,123,79,biometric
Assam,Kokrajhar,2025-08,223,142,biometric
Assam,Kokrajhar,2025-09,187,114,biometric
Assam,Kokrajhar,2025-10,191,118,biometric
Assam,Kokrajhar,2025-11,266,170,biometric
Assam,Kokrajhar,2025-12,224,134,biometric
Assam,Lakhimpur,2025-01,8372,5376,biometric
Assam,Lakhimpur,2025-02,313,159,biometric
Assam,Lakhimpur,2025-03,384,216,biometric
Assam,Lakhimpur,2025-04,534,248,biometric
Assam,Lakhimpur,2025-05,331,168,biometric
Assam,Lakhimpur,2025-06,471,201,biometric
Assam,Lakhimpur,2025-07,245,165,biometric
Assam,Lakhimpur,2025-08,406,190,biometric
Assam,Lakhimpur,2025-09,504,180,biometric
Assam,Lakhimpur,2025-10,419,206,biometric
Assam,Lakhimpur,2025-11,481,243,biometric
Assam,Lakhimpur,2025-12,526,178,biometric
Assam,Majuli,2025-01,1479,671,biometric
Assam,Majuli,2025-02,35,9,biometric
Assam,Majuli,2025-03,33,8,biometric
Assam,Majuli,2025-04,69,35,biometric
Assam,Majuli,2025-05,26,13,biometric
Assam,Majuli,2025-06,20,5,biometric
Assam,Majuli,2025-07,4,1,biometric
Assam,Majuli,2025-08,44,16,biometric
Assam,Majuli,2025-09,25,10,biometric
Assam,Majuli,2025-10,28,11,biometric
Assam,Majuli,2025-11,33,9,biometric
Assam,Majuli,2025-12,27,15,biometric
Assam,Marigaon,2025-01,11841,6411,biometric
Assam,Marigaon,2025-02,331,182,biometric
Assam,Marigaon,2025-03,231,186,biometric
Assam,Marigaon,2025-04,406,335,biometric
Assam,Marigaon,2025-05,239,185,biometric
Assam,Marigaon,2025-06,352,240,biometric
Assam,Marigaon,2025-07,214,151,biometric
Assam,Marigaon,2025-08,387,257,biometric
Assam,Marigaon,2025-09,297,218,biometric
Assam,Marigaon,2025-10,314,271,biometric
Assam,Marigaon,2025-11,324,268,biometric
Assam,Marigaon,2025-12,236,236,biometric
Assam,Nagaon,2025-01,21338,31293,biometric
Assam,Nagaon,2025-02,783,1108,biometric
Assam,Nagaon,2025-03,733,1297,biometric
Assam,Nagaon,2025-04,1181,1861,biometric
Assam,Nagaon,2025-05,707,1054,biometric
Assam,Nagaon,2025-06,941,1310,biometric
Assam,Nagaon,2025-07,549,870,biometric
Assam,Nagaon,2025-08,739,1260,biometric
Assam,Nagaon,2025-09,877,1376,biometric
Assam,Nagaon,2025-10,822,1362,biometric
Assam,Nagaon,2025-11,981,1668,biometric
Assam,Nagaon,2025-12,723,1634,biometric
Assam,Nalbari,2025-01,5982,2181,biometric
Assam,Nalbari,2025-02,522,84,biometric
Assam,Nalbari,2025-03,459,73,biometric
Assam,Nalbari,2025-04,719,96,biometric
Assam,Nalbari,2025-05,408,66,biometric
Assam,Nalbari,2025-06,510,99,biometric
Assam,Nalbari,2025-07,347,55,biometric
Assam,Nalbari,2025-08,573,117,biometric
Assam,Nalbari,2025-09,396,77,biometric
Assam,Nalbari,2025-10,331,60,biometric
Assam,Nalbari,2025-11,372,85,biometric
Assam,Nalbari,2025-12,386,71,biometric
Assam,North Cachar Hills,2025-01,944,612,biometric
Assam,North Cachar Hills,2025-02,59,24,biometric
Assam,North Cachar Hills,2025-03,51,24,biometric
Assam,North Cachar Hills,2025-04,65,32,biometric
Assam,North Cachar Hills,2025-05,26,11,biometric
Assam,North Cachar Hills,2025-06,67,15,biometric
Assam,North Cachar Hills,2025-07,16,4,biometric
Assam,North Cachar Hills,2025-08,124,39,biometric
Assam,North Cachar Hills,2025-09,65,23,biometric
Assam,North Cachar Hills,2025-10,94,21,biometric
Assam,North Cachar Hills,2025-11,104,41,biometric
Assam,North Cachar Hills,2025-12,138,41,biometric
Assam,Sibsagar,2025-01,4298,1689,biometric
Assam,Sibsagar,2025-02,161,40,biometric
Assam,Sibsagar,2025-03,167,51,biometric
Assam,Sibsagar,2025-04,210,70,biometric
Assam,Sibsagar,2025-05,110,59,biometric
Assam,Sibsagar,2025-06,176,45,biometric
Assam,Sibsagar,2025-07,128,33,biometric
Assam,Sibsagar,2025-08,208,55,biometric
Assam,Sibsagar,2025-09,184,36,biometric
Assam,Sibsagar,2025-10,133,43,biometric
Assam,Sibsagar,2025-11,187,47,biometric
Assam,Sibsagar,2025-12,175,45,biometric
Assam,Sonitpur,2025-01,9588,6053,biometric
Assam,Sonitpur,2025-02,309,173,biometric
Assam,Sonitpur,2025-03,344,211,biometric
Assam,Sonitpur,2025-04,389,205,biometric
Assam,Sonitpur,2025-05,251,149,biometric
Assam,Sonitpur,2025-06,306,162,biometric
Assam,Sonitpur,2025-07,261,167,biometric
Assam,Sonitpur,2025-08,355,239,biometric
Assam,Sonitpur,2025-09,311,165,biometric
Assam,Sonitpur,2025-10,286,169,biometric
Assam,Sonitpur,2025-11,286,210,biometric
Assam,Sonitpur,2025-12,335,210,biometric
Assam,South Salmara Mankachar,2025-01,1341,821,biometric
Assam,South Salmara Mankachar,2025-02,52,33,biometric
Assam,South Salmara Mankachar,2025-03,71,23,biometric
Assam,South Salmara Mankachar,2025-04,83,42,biometric
Assam,South Salmara Mankachar,2025-05,54,31,biometric
Assam,South Salmara Mankachar,2025-06,80,37,biometric
Assam,South Salmara Mankachar,2025-07,28,19,biometric
Assam,South Salmara Mankachar,2025-08,63,24,biometric
Assam,South Salmara Mankachar,2025-09,53,30,biometric
Assam,South Salmara Mankachar,2025-10,61,29,biometric
Assam,South Salmara Mankachar,2025-11,52,31,biometric
Assam,South Salmara Mankachar,2025-12,58,31,biometric
Assam,Sribhumi,2025-01,2,14,biometric
Assam,Sribhumi,2025-02,0,3,biometric
Assam,Sribhumi,2025-03,1,11,biometric
Assam,Sribhumi,2025-04,2,16,biometric
Assam,Sribhumi,2025-05,0,17,biometric
Assam,Sribhumi,2025-06,0,16,biometric
Assam,Sribhumi,2025-07,3,7,biometric
Assam,Sribhumi,2025-08,0,13,biometric
Assam,Sribhumi,2025-09,1,14,biometric
Assam,Sribhumi,2025-10,2,10,biometric
Assam,Sribhumi,2025-11,4,16,biometric
Assam,Sribhumi,2025-12,1,5,biometric
Assam,Tamulpur District,2025-01,0,3,biometric
Assam,Tamulpur District,2025-02,2,3,biometric
Assam,Tamulpur District,2025-03,1,1,biometric
Assam,Tamulpur District,2025-04,0,1,biometric
Assam,Tamulpur District,2025-05,1,0,biometric
Assam,Tamulpur District,2025-06,1,5,biometric
Assam,Tamulpur District,2025-08,0,2,biometric
Assam,Tamulpur District,2025-09,0,2,biometric
Assam,Tamulpur District,2025-10,0,1,biometric
Assam,Tamulpur District,2025-12,1,1,biometric
Assam,Tinsukia,2025-01,6961,4376,biometric
Assam,Tinsukia,2025-02,335,93,biometric
Assam,Tinsukia,2025-03,281,101,biometric
Assam,Tinsukia,2025-04,340,135,biometric
Assam,Tinsukia,2025-05,269,91,biometric
Assam,Tinsukia,2025-06,309,114,biometric
Assam,Tinsukia,2025-07,128,58,biometric
Assam,Tinsukia,2025-08,249,129,biometric
Assam,Tinsukia,2025-09,223,83,biometric
Assam,Tinsukia,2025-10,202,93,biometric
Assam,Tinsukia,2025-11,218,109,biometric
Assam,Tinsukia,2025-12,305,116,biometric
Assam,Udalguri,2025-01,7971,4017,biometric
Assam,Udalguri,2025-02,243,114,biometric
Assam,Udalguri,2025-03,311,146,biometric
Assam,Udalguri,2025-04,258,147,biometric
Assam,Udalguri,2025-05,127,85,biometric
Assam,Udalguri,2025-06,268,115,biometric
Assam,Udalguri,2025-07,127,63,biometric
Assam,Udalguri,2025-08,189,136,biometric
Assam,Udalguri,2025-09,231,146,biometric
Assam,Udalguri,2025-10,203,108,biometric
Assam,Udalguri,2025-11,237,162,biometric
Assam,Udalguri,2025-12,231,106,biometric
Assam,West Karbi Anglong,2025-01,424,712,biometric
Assam,West Karbi Anglong,2025-02,10,46,biometric
Assam,West Karbi Anglong,2025-03,16,56,biometric
Assam,West Karbi Anglong,2025-04,26,53,biometric
Assam,West Karbi Anglong,2025-05,41,45,biometric
Assam,West Karbi Anglong,2025-06,49,62,biometric
Assam,West Karbi Anglong,2025-07,17,35,biometric
Assam,West Karbi Anglong,2025-08,44,75,biometric
Assam,West Karbi Anglong,2025-09,15,30,biometric
Assam,West Karbi Anglong,2025-10,28,70,biometric
Assam,West Karbi Anglong,2025-11,33,70,biometric
Assam,West Karbi Anglong,2025-12,33,56,biometric
Bihar,Araria,2025-01,53146,53387,biometric
Bihar,Araria,2025-02,858,1388,biometric
Bihar,Araria,2025-03,746,1400,biometric
Bihar,Araria,2025-04,630,1117,biometric
Bihar,Araria,2025-05,438,715,biometric
Bihar,Araria,2025-06,948,1594,biometric
Bihar,Araria,2025-07,364,631,biometric
Bihar,Araria,2025-08,666,1114,biometric
Bihar,Araria,2025-09,914,1437,biometric
Bihar,Araria,2025-10,701,1200,biometric
Bihar,Araria,2025-11,796,1367,biometric
Bihar,Araria,2025-12,761,1157,biometric
Bihar,Arwal,2025-01,8272,11798,biometric
Bihar,Arwal,2025-02,225,336,biometric
Bihar,Arwal,2025-03,206,355,biometric
Bihar,Arwal,2025-04,134,258,biometric
Bihar,Arwal,2025-05,109,244,biometric
Bihar,Arwal,2025-06,211,373,biometric
Bihar,Arwal,2025-07,106,205,biometric
Bihar,Arwal,2025-08,140,214,biometric
Bihar,Arwal,2025-09,196,357,biometric
Bihar,Arwal,2025-10,147,296,biometric
Bihar,Arwal,2025-11,140,268,biometric
Bihar,Arwal,2025-12,138,274,biometric
Bihar,Aurangabad,2025-01,31219,31475,biometric
Bihar,Aurangabad,2025-02,769,922,biometric
Bihar,Aurangabad,2025-03,785,959,biometric
Bihar,Aurangabad,2025-04,515,662,biometric
Bihar,Aurangabad,2025-05,448,524,biometric
Bihar,Aurangabad,2025-06,773,914,biometric
Bihar,Aurangabad,2025-07,274,362,biometric
Bihar,Aurangabad,2025-08,524,660,biometric
Bihar,Aurangabad,2025-09,727,894,biometric
Bihar,Aurangabad,2025-10,591,776,biometric
Bihar,Aurangabad,2025-11,606,844,biometric
Bihar,Aurangabad,2025-12,472,715,biometric
Bihar,Aurangabad(Bh),2025-01,3,6,biometric
Bihar,Aurangabad(Bh),2025-02,5,13,biometric
Bihar,Aurangabad(Bh),2025-03,1,6,biometric
Bihar,Aurangabad(Bh),2025-04,0,7,biometric
Bihar,Aurangabad(Bh),2025-05,1,7,biometric
Bihar,Aurangabad(Bh),2025-06,1,13,biometric
Bihar,Aurangabad(Bh),2025-07,1,6,biometric
Bihar,Aurangabad(Bh),2025-08,1,5,biometric
Bihar,Aurangabad(Bh),2025-09,1,8,biometric
Bihar,Aurangabad(Bh),2025-10,0,8,biometric
Bihar,Aurangabad(Bh),2025-11,1,11,biometric
Bihar,Aurangabad(Bh),2025-12,1,8,biometric
Bihar,Banka,2025-01,35797,31797,biometric
Bihar,Banka,2025-02,643,772,biometric
Bihar,Banka,2025-03,653,841,biometric
Bihar,Banka,2025-04,507,546,biometric
Bihar,Banka,2025-05,428,503,biometric
Bihar,Banka,2025-06,781,858,biometric
Bihar,Banka,2025-07,292,369,biometric
Bihar,Banka,2025-08,521,560,biometric
Bihar,Banka,2025-09,806,881,biometric
Bihar,Banka,2025-10,506,680,biometric
Bihar,Banka,2025-11,618,812,biometric
Bihar,Banka,2025-12,467,553,biometric
Bihar,Begusarai,2025-01,51678,48886,biometric
Bihar,Begusarai,2025-02,1034,1234,biometric
Bihar,Begusarai,2025-03,1042,1439,biometric
Bihar,Begusarai,2025-04,741,1027,biometric
Bihar,Begusarai,2025-05,487,614,biometric
Bihar,Begusarai,2025-06,1022,1290,biometric
Bihar,Begusarai,2025-07,431,597,biometric
Bihar,Begusarai,2025-08,721,871,biometric
Bihar,Begusarai,2025-09,941,1186,biometric
Bihar,Begusarai,2025-10,815,1180,biometric
Bihar,Begusarai,2025-11,970,1272,biometric
Bihar,Begusarai,2025-12,914,1293,biometric
Bihar,Bhabua,2025-01,0,1,biometric
Bihar,Bhabua,2025-02,1,1,biometric
Bihar,Bhabua,2025-03,0,2,biometric
Bihar,Bhabua,2025-04,0,1,biometric
Bihar,Bhabua,2025-05,0,1,biometric
Bihar,Bhabua,2025-06,0,2,biometric
Bihar,Bhabua,2025-09,0,1,biometric
Bihar,Bhabua,2025-10,0,2,biometric
Bihar,Bhabua,2025-12,0,1,biometric
Bihar,Bhagalpur,2025-01,50975,48315,biometric
Bihar,Bhagalpur,2025-02,1017,1290,biometric
Bihar,Bhagalpur,2025-03,967,1397,biometric
Bihar,Bhagalpur,2025-04,642,822,biometric
Bihar,Bhagalpur,2025-05,577,739,biometric
Bihar,Bhagalpur,2025-06,1166,1476,biometric
Bihar,Bhagalpur,2025-07,475,629,biometric
