state,district,month,demo_age_5_17,demo_age_17_
Chandigarh,Chandigarh,2025-01,6930,31037
Chandigarh,Chandigarh,2025-02,92,637
Chandigarh,Chandigarh,2025-03,89,781
Chandigarh,Chandigarh,2025-04,119,784
Chandigarh,Chandigarh,2025-05,55,415
Chandigarh,Chandigarh,2025-06,90,679
Chandigarh,Chandigarh,2025-07,51,514
Chandigarh,Chandigarh,2025-08,98,811
Chandigarh,Chandigarh,2025-09,93,585
Chandigarh,Chandigarh,2025-10,60,609
Chandigarh,Chandigarh,2025-11,92,835
Chandigarh,Chandigarh,2025-12,73,698
Chandigarh,Rupnagar,2025-01,0,1
Chandigarh,Rupnagar,2025-04,0,2
Chandigarh,Rupnagar,2025-06,1,0
Chandigarh,Rupnagar,2025-07,0,4
Chandigarh,Rupnagar,2025-08,0,1
Chandigarh,Rupnagar,2025-10,0,1
Chandigarh,Rupnagar,2025-11,0,1
Chhatisgarh,Raipur,2025-04,0,1
Chhattisgarh,Balod,2025-01,2258,19718
Chhattisgarh,Balod,2025-02,56,537
Chhattisgarh,Balod,2025-03,80,625
Chhattisgarh,Balod,2025-04,62,697
Chhattisgarh,Balod,2025-05,63,400
Chhattisgarh,Balod,2025-06,64,560
Chhattisgarh,Balod,2025-07,52,231
Chhattisgarh,Balod,2025-08,109,1079
Chhattisgarh,Balod,2025-09,68,692
Chhattisgarh,Balod,2025-10,70,845
Chhattisgarh,Balod,2025-11,90,829
Chhattisgarh,Balod,2025-12,72,788
Chhattisgarh,Baloda Bazar,2025-01,2128,34758
Chhattisgarh,Baloda Bazar,2025-02,82,1432
Chhattisgarh,Baloda Bazar,2025-03,170,2100
Chhattisgarh,Baloda Bazar,2025-04,154,2354
Chhattisgarh,Baloda Bazar,2025-05,94,897
Chhattisgarh,Baloda Bazar,2025-06,144,1376
Chhattisgarh,Baloda Bazar,2025-07,99,613
Chhattisgarh,Baloda Bazar,2025-08,307,3050
Chhattisgarh,Baloda Bazar,2025-09,173,1749
Chhattisgarh,Baloda Bazar,2025-10,215,2094
Chhattisgarh,Baloda Bazar,2025-11,185,2010
Chhattisgarh,Baloda Bazar,2025-12,145,1580
Chhattisgarh,Balrampur,2025-01,1323,23667
Chhattisgarh,Balrampur,2025-02,44,791
Chhattisgarh,Balrampur,2025-03,91,1045
Chhattisgarh,Balrampur,2025-04,60,965
Chhattisgarh,Balrampur,2025-05,41,533
Chhattisgarh,Balrampur,2025-06,47,765
Chhattisgarh,Balrampur,2025-07,33,292
Chhattisgarh,Balrampur,2025-08,90,1267
Chhattisgarh,Balrampur,2025-09,59,904
Chhattisgarh,Balrampur,2025-10,59,920
Chhattisgarh,Balrampur,2025-11,57,812
Chhattisgarh,Balrampur,2025-12,42,621
Chhattisgarh,Bastar,2025-01,2116,18575
Chhattisgarh,Bastar,2025-02,164,655
Chhattisgarh,Bastar,2025-03,269,1044
Chhattisgarh,Bastar,2025-04,231,1280
Chhattisgarh,Bastar,2025-05,121,530
Chhattisgarh,Bastar,2025-06,169,885
Chhattisgarh,Bastar,2025-07,118,298
Chhattisgarh,Bastar,2025-08,280,1503
Chhattisgarh,Bastar,2025-09,140,754
Chhattisgarh,Bastar,2025-10,189,1519
Chhattisgarh,Bastar,2025-11,205,1437
Chhattisgarh,Bastar,2025-12,213,1865
Chhattisgarh,Bemetara,2025-01,882,16050
Chhattisgarh,Bemetara,2025-02,61,705
Chhattisgarh,Bemetara,2025-03,71,710
Chhattisgarh,Bemetara,2025-04,66,833
Chhattisgarh,Bemetara,2025-05,46,390
Chhattisgarh,Bemetara,2025-06,65,546
Chhattisgarh,Bemetara,2025-07,30,264
Chhattisgarh,Bemetara,2025-08,164,1339
Chhattisgarh,Bemetara,2025-09,115,1063
Chhattisgarh,Bemetara,2025-10,145,1346
Chhattisgarh,Bemetara,2025-11,150,1030
Chhattisgarh,Bemetara,2025-12,103,1086
Chhattisgarh,Bijapur,2025-01,185,2271
Chhattisgarh,Bijapur,2025-02,32,198
Chhattisgarh,Bijapur,2025-03,40,197
Chhattisgarh,Bijapur,2025-04,33,280
Chhattisgarh,Bijapur,2025-05,27,151
Chhattisgarh,Bijapur,2025-06,7,66
Chhattisgarh,Bijapur,2025-07,16,108
Chhattisgarh,Bijapur,2025-08,34,416
Chhattisgarh,Bijapur,2025-09,35,267
Chhattisgarh,Bijapur,2025-10,35,367
Chhattisgarh,Bijapur,2025-11,28,393
Chhattisgarh,Bijapur,2025-12,30,336
Chhattisgarh,Bilaspur,2025-01,4140,48393
Chhattisgarh,Bilaspur,2025-02,181,1829
Chhattisgarh,Bilaspur,2025-03,270,2341
Chhattisgarh,Bilaspur,2025-04,235,2647
Chhattisgarh,Bilaspur,2025-05,141,1342
Chhattisgarh,Bilaspur,2025-06,232,1887
Chhattisgarh,Bilaspur,2025-07,175,1117
Chhattisgarh,Bilaspur,2025-08,267,3208
Chhattisgarh,Bilaspur,2025-09,142,1526
Chhattisgarh,Bilaspur,2025-10,203,2223
Chhattisgarh,Bilaspur,2025-11,248,2321
Chhattisgarh,Bilaspur,2025-12,154,1829
Chhattisgarh,Dakshin Bastar Dantewada,2025-01,281,666
Chhattisgarh,Dakshin Bastar Dantewada,2025-02,23,65
Chhattisgarh,Dakshin Bastar Dantewada,2025-03,18,99
Chhattisgarh,Dakshin Bastar Dantewada,2025-04,37,116
Chhattisgarh,Dakshin Bastar Dantewada,2025-05,26,93
Chhattisgarh,Dakshin Bastar Dantewada,2025-06,19,65
Chhattisgarh,Dakshin Bastar Dantewada,2025-07,17,39
Chhattisgarh,Dakshin Bastar Dantewada,2025-08,46,145
Chhattisgarh,Dakshin Bastar Dantewada,2025-09,28,77
Chhattisgarh,Dakshin Bastar Dantewada,2025-10,37,152
Chhattisgarh,Dakshin Bastar Dantewada,2025-11,39,132
Chhattisgarh,Dakshin Bastar Dantewada,2025-12,34,89
Chhattisgarh,Dantewada,2025-01,113,204
Chhattisgarh,Dantewada,2025-02,8,33
Chhattisgarh,Dantewada,2025-03,21,54
Chhattisgarh,Dantewada,2025-04,25,44
Chhattisgarh,Dantewada,2025-05,7,30
Chhattisgarh,Dantewada,2025-06,10,35
Chhattisgarh,Dantewada,2025-07,9,22
Chhattisgarh,Dantewada,2025-08,20,80
Chhattisgarh,Dantewada,2025-09,18,28
Chhattisgarh,Dantewada,2025-10,19,25
Chhattisgarh,Dantewada,2025-11,17,53
Chhattisgarh,Dantewada,2025-12,23,29
Chhattisgarh,Dhamtari,2025-01,1007,15167
Chhattisgarh,Dhamtari,2025-02,69,696
Chhattisgarh,Dhamtari,2025-03,30,570
Chhattisgarh,Dhamtari,2025-04,76,829
Chhattisgarh,Dhamtari,2025-05,34,277
Chhattisgarh,Dhamtari,2025-06,35,380
Chhattisgarh,Dhamtari,2025-07,43,169
Chhattisgarh,Dhamtari,2025-08,99,1072
Chhattisgarh,Dhamtari,2025-09,43,498
Chhattisgarh,Dhamtari,2025-10,79,902
Chhattisgarh,Dhamtari,2025-11,44,810
Chhattisgarh,Dhamtari,2025-12,54,647
Chhattisgarh,Durg,2025-01,4172,24723
Chhattisgarh,Durg,2025-02,121,775
Chhattisgarh,Durg,2025-03,144,948
Chhattisgarh,Durg,2025-04,196,1107
Chhattisgarh,Durg,2025-05,94,730
Chhattisgarh,Durg,2025-06,111,790
Chhattisgarh,Durg,2025-07,89,408
Chhattisgarh,Durg,2025-08,207,1410
Chhattisgarh,Durg,2025-09,146,878
Chhattisgarh,Durg,2025-10,159,1072
Chhattisgarh,Durg,2025-11,185,1279
Chhattisgarh,Durg,2025-12,115,876
Chhattisgarh,Gariyaband,2025-01,100,3603
Chhattisgarh,Gariyaband,2025-02,25,559
Chhattisgarh,Gariyaband,2025-03,30,405
Chhattisgarh,Gariyaband,2025-04,38,758
Chhattisgarh,Gariyaband,2025-05,17,333
Chhattisgarh,Gariyaband,2025-06,19,545
Chhattisgarh,Gariyaband,2025-07,15,198
Chhattisgarh,Gariyaband,2025-08,54,793
Chhattisgarh,Gariyaband,2025-09,21,499
Chhattisgarh,Gariyaband,2025-10,48,859
Chhattisgarh,Gariyaband,2025-11,28,486
Chhattisgarh,Gariyaband,2025-12,37,278
Chhattisgarh,Gaurela Pendra Marwahi,2025-01,67,666
Chhattisgarh,Gaurela Pendra Marwahi,2025-02,10,81
Chhattisgarh,Gaurela Pendra Marwahi,2025-03,20,130
Chhattisgarh,Gaurela Pendra Marwahi,2025-04,8,49
Chhattisgarh,Gaurela Pendra Marwahi,2025-05,6,23
Chhattisgarh,Gaurela Pendra Marwahi,2025-06,10,69
Chhattisgarh,Gaurela Pendra Marwahi,2025-07,5,58
Chhattisgarh,Gaurela Pendra Marwahi,2025-08,11,67
Chhattisgarh,Gaurela Pendra Marwahi,2025-09,8,71
Chhattisgarh,Gaurela Pendra Marwahi,2025-10,6,50
Chhattisgarh,Gaurela Pendra Marwahi,2025-11,19,84
Chhattisgarh,Gaurela Pendra Marwahi,2025-12,7,47
Chhattisgarh,Janjgir Champa,2025-01,2257,34424
Chhattisgarh,Janjgir Champa,2025-02,84,1092
Chhattisgarh,Janjgir Champa,2025-03,122,1431
Chhattisgarh,Janjgir Champa,2025-04,82,1689
Chhattisgarh,Janjgir Champa,2025-05,52,844
Chhattisgarh,Janjgir Champa,2025-06,105,1247
Chhattisgarh,Janjgir Champa,2025-07,69,794
Chhattisgarh,Janjgir Champa,2025-08,152,2317
Chhattisgarh,Janjgir Champa,2025-09,135,1535
Chhattisgarh,Janjgir Champa,2025-10,86,1467
Chhattisgarh,Janjgir Champa,2025-11,137,1864
Chhattisgarh,Janjgir Champa,2025-12,111,1574
Chhattisgarh,Jashpur,2025-01,2783,22039
Chhattisgarh,Jashpur,2025-02,155,985
Chhattisgarh,Jashpur,2025-03,217,1013
Chhattisgarh,Jashpur,2025-04,179,860
Chhattisgarh,Jashpur,2025-05,104,399
Chhattisgarh,Jashpur,2025-06,148,591
Chhattisgarh,Jashpur,2025-07,108,459
Chhattisgarh,Jashpur,2025-08,230,1361
Chhattisgarh,Jashpur,2025-09,147,677
Chhattisgarh,Jashpur,2025-10,166,1095
Chhattisgarh,Jashpur,2025-11,147,1000
Chhattisgarh,Jashpur,2025-12,88,851
Chhattisgarh,Kabeerdham,2025-01,1060,9371
Chhattisgarh,Kabeerdham,2025-02,35,187
Chhattisgarh,Kabeerdham,2025-03,38,221
Chhattisgarh,Kabeerdham,2025-04,38,240
Chhattisgarh,Kabeerdham,2025-05,38,136
Chhattisgarh,Kabeerdham,2025-06,30,166
Chhattisgarh,Kabeerdham,2025-07,23,122
Chhattisgarh,Kabeerdham,2025-08,74,421
Chhattisgarh,Kabeerdham,2025-09,8,210
Chhattisgarh,Kabeerdham,2025-10,51,320
Chhattisgarh,Kabeerdham,2025-11,66,326
Chhattisgarh,Kabeerdham,2025-12,58,360
Chhattisgarh,Kanker,2025-01,568,5150
Chhattisgarh,Kanker,2025-02,68,530
Chhattisgarh,Kanker,2025-03,85,457
Chhattisgarh,Kanker,2025-04,71,736
Chhattisgarh,Kanker,2025-05,40,400
Chhattisgarh,Kanker,2025-06,69,471
Chhattisgarh,Kanker,2025-07,50,136
Chhattisgarh,Kanker,2025-08,80,762
Chhattisgarh,Kanker,2025-09,55,370
Chhattisgarh,Kanker,2025-10,71,652
Chhattisgarh,Kanker,2025-11,68,427
Chhattisgarh,Kanker,2025-12,74,666
Chhattisgarh,Kawardha,2025-01,933,16895
Chhattisgarh,Kawardha,2025-02,28,665
Chhattisgarh,Kawardha,2025-03,66,572
Chhattisgarh,Kawardha,2025-04,86,919
Chhattisgarh,Kawardha,2025-05,52,335
Chhattisgarh,Kawardha,2025-06,56,540
Chhattisgarh,Kawardha,2025-07,48,342
Chhattisgarh,Kawardha,2025-08,109,1124
Chhattisgarh,Kawardha,2025-09,74,616
Chhattisgarh,Kawardha,2025-10,111,1149
Chhattisgarh,Kawardha,2025-11,78,821
Chhattisgarh,Kawardha,2025-12,140,1170
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-01,187,1524
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-02,10,98
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-03,17,177
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-04,15,84
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-05,11,77
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-06,6,93
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-07,7,72
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-08,11,150
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09,7,112
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10,7,108
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11,7,160
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12,15,116
Chhattisgarh,Kondagaon,2025-01,901,17600
Chhattisgarh,Kondagaon,2025-02,104,558
Chhattisgarh,Kondagaon,2025-03,101,529
Chhattisgarh,Kondagaon,2025-04,91,788
Chhattisgarh,Kondagaon,2025-05,63,409
Chhattisgarh,Kondagaon,2025-06,66,462
Chhattisgarh,Kondagaon,2025-07,61,138
Chhattisgarh,Kondagaon,2025-08,93,753
Chhattisgarh,Kondagaon,2025-09,60,492
Chhattisgarh,Kondagaon,2025-10,101,826
Chhattisgarh,Kondagaon,2025-11,85,691
Chhattisgarh,Kondagaon,2025-12,79,1183
Chhattisgarh,Korba,2025-01,2431,27493
Chhattisgarh,Korba,2025-02,55,821
Chhattisgarh,Korba,2025-03,67,1096
Chhattisgarh,Korba,2025-04,54,813
Chhattisgarh,Korba,2025-05,40,533
Chhattisgarh,Korba,2025-06,60,916
Chhattisgarh,Korba,2025-07,28,484
Chhattisgarh,Korba,2025-08,77,1283
Chhattisgarh,Korba,2025-09,45,849
Chhattisgarh,Korba,2025-10,55,1011
Chhattisgarh,Korba,2025-11,68,1015
Chhattisgarh,Korba,2025-12,46,786
Chhattisgarh,Koriya,2025-01,678,8880
Chhattisgarh,Koriya,2025-02,30,515
Chhattisgarh,Koriya,2025-03,67,586
Chhattisgarh,Koriya,2025-04,53,606
Chhattisgarh,Koriya,2025-05,28,274
Chhattisgarh,Koriya,2025-06,56,394
Chhattisgarh,Koriya,2025-07,33,200
Chhattisgarh,Koriya,2025-08,61,906
Chhattisgarh,Koriya,2025-09,34,330
Chhattisgarh,Koriya,2025-10,63,663
Chhattisgarh,Koriya,2025-11,43,520
Chhattisgarh,Koriya,2025-12,52,707
Chhattisgarh,Mahasamund,2025-01,3699,57534
Chhattisgarh,Mahasamund,2025-02,94,1204
Chhattisgarh,Mahasamund,2025-03,96,1225
Chhattisgarh,Mahasamund,2025-04,102,1425
Chhattisgarh,Mahasamund,2025-05,45,542
Chhattisgarh,Mahasamund,2025-06,86,932
Chhattisgarh,Mahasamund,2025-07,62,407
Chhattisgarh,Mahasamund,2025-08,121,1633
Chhattisgarh,Mahasamund,2025-09,83,1054
Chhattisgarh,Mahasamund,2025-10,101,1318
Chhattisgarh,Mahasamund,2025-11,141,1400
Chhattisgarh,Mahasamund,2025-12,94,1269
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-01,7,97
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-02,9,164
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-03,10,117
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-04,12,113
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-05,11,109
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-06,7,88
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-07,9,147
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-08,24,171
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-09,7,88
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-10,11,123
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-11,13,168
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12,9,102
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-01,15,56
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-02,1,0
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-03,0,3
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-04,0,6
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-05,0,4
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-06,1,4
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-07,1,1
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-08,2,2
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-09,0,1
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-10,0,2
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-11,2,6
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-12,0,2
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-01,1286,5388
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-02,60,263
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-03,56,347
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-04,48,275
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-05,41,194
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-06,72,328
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-07,47,321
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-08,94,430
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-09,43,264
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-10,72,404
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-11,103,405
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-12,77,354
Chhattisgarh,Mungeli,2025-01,1250,25099
Chhattisgarh,Mungeli,2025-02,42,508
Chhattisgarh,Mungeli,2025-03,53,654
Chhattisgarh,Mungeli,2025-04,58,931
Chhattisgarh,Mungeli,2025-05,22,293
Chhattisgarh,Mungeli,2025-06,40,575
Chhattisgarh,Mungeli,2025-07,38,446
Chhattisgarh,Mungeli,2025-08,99,1499
Chhattisgarh,Mungeli,2025-09,70,1275
Chhattisgarh,Mungeli,2025-10,58,878
Chhattisgarh,Mungeli,2025-11,72,851
Chhattisgarh,Mungeli,2025-12,80,1407
Chhattisgarh,Narayanpur,2025-01,679,5453
Chhattisgarh,Narayanpur,2025-02,14,30
Chhattisgarh,Narayanpur,2025-03,24,94
Chhattisgarh,Narayanpur,2025-04,44,170
Chhattisgarh,Narayanpur,2025-05,10,37
Chhattisgarh,Narayanpur,2025-06,14,45
Chhattisgarh,Narayanpur,2025-07,19,34
Chhattisgarh,Narayanpur,2025-08,23,162
Chhattisgarh,Narayanpur,2025-09,14,84
Chhattisgarh,Narayanpur,2025-10,18,114
Chhattisgarh,Narayanpur,2025-11,39,225
Chhattisgarh,Narayanpur,2025-12,25,131
Chhattisgarh,Raigarh,2025-01,1615,17585
Chhattisgarh,Raigarh,2025-02,71,1250
Chhattisgarh,Raigarh,2025-03,68,1392
Chhattisgarh,Raigarh,2025-04,86,1729
Chhattisgarh,Raigarh,2025-05,40,640
Chhattisgarh,Raigarh,2025-06,83,1448
Chhattisgarh,Raigarh,2025-07,48,626
Chhattisgarh,Raigarh,2025-08,75,2239
Chhattisgarh,Raigarh,2025-09,67,1359
Chhattisgarh,Raigarh,2025-10,62,1226
Chhattisgarh,Raigarh,2025-11,70,1550
Chhattisgarh,Raigarh,2025-12,70,1699
Chhattisgarh,Raipur,2025-01,4723,46880
Chhattisgarh,Raipur,2025-02,111,1262
Chhattisgarh,Raipur,2025-03,201,1442
Chhattisgarh,Raipur,2025-04,196,1787
Chhattisgarh,Raipur,2025-05,97,697
Chhattisgarh,Raipur,2025-06,172,1283
Chhattisgarh,Raipur,2025-07,97,636
Chhattisgarh,Raipur,2025-08,176,1902
Chhattisgarh,Raipur,2025-09,140,1334
Chhattisgarh,Raipur,2025-10,185,1604
Chhattisgarh,Raipur,2025-11,129,1228
Chhattisgarh,Raipur,2025-12,158,1642
Chhattisgarh,Rajnandgaon,2025-01,4006,60722
Chhattisgarh,Rajnandgaon,2025-02,107,1165
Chhattisgarh,Rajnandgaon,2025-03,136,1165
Chhattisgarh,Rajnandgaon,2025-04,130,2043
Chhattisgarh,Rajnandgaon,2025-05,66,825
Chhattisgarh,Rajnandgaon,2025-06,121,929
Chhattisgarh,Rajnandgaon,2025-07,71,450
Chhattisgarh,Rajnandgaon,2025-08,189,2170
Chhattisgarh,Rajnandgaon,2025-09,143,1628
Chhattisgarh,Rajnandgaon,2025-10,170,1448
Chhattisgarh,Rajnandgaon,2025-11,178,1494
Chhattisgarh,Rajnandgaon,2025-12,145,1700
Chhattisgarh,Sakti,2025-01,91,731
Chhattisgarh,Sakti,2025-02,27,272
Chhattisgarh,Sakti,2025-03,30,322
Chhattisgarh,Sakti,2025-04,11,203
Chhattisgarh,Sakti,2025-05,23,189
Chhattisgarh,Sakti,2025-06,26,290
Chhattisgarh,Sakti,2025-07,15,131
Chhattisgarh,Sakti,2025-08,37,301
Chhattisgarh,Sakti,2025-09,33,280
Chhattisgarh,Sakti,2025-10,24,231
Chhattisgarh,Sakti,2025-11,18,279
Chhattisgarh,Sakti,2025-12,21,230
Chhattisgarh,Sarangarh Bilaigarh,2025-01,12,168
Chhattisgarh,Sarangarh Bilaigarh,2025-02,13,225
Chhattisgarh,Sarangarh Bilaigarh,2025-03,12,227
Chhattisgarh,Sarangarh Bilaigarh,2025-04,13,161
Chhattisgarh,Sarangarh Bilaigarh,2025-05,10,125
Chhattisgarh,Sarangarh Bilaigarh,2025-06,14,224
Chhattisgarh,Sarangarh Bilaigarh,2025-07,3,122
Chhattisgarh,Sarangarh Bilaigarh,2025-08,18,275
Chhattisgarh,Sarangarh Bilaigarh,2025-09,21,277
Chhattisgarh,Sarangarh Bilaigarh,2025-10,14,243
Chhattisgarh,Sarangarh Bilaigarh,2025-11,24,300
Chhattisgarh,Sarangarh Bilaigarh,2025-12,15,200
Chhattisgarh,Sukma,2025-01,216,1435
Chhattisgarh,Sukma,2025-02,43,190
Chhattisgarh,Sukma,2025-03,38,177
Chhattisgarh,Sukma,2025-04,51,283
Chhattisgarh,Sukma,2025-05,16,170
Chhattisgarh,Sukma,2025-06,29,234
Chhattisgarh,Sukma,2025-07,27,145
Chhattisgarh,Sukma,2025-08,59,615
Chhattisgarh,Sukma,2025-09,53,255
Chhattisgarh,Sukma,2025-10,35,296
Chhattisgarh,Sukma,2025-11,54,405
Chhattisgarh,Sukma,2025-12,34,310
Chhattisgarh,Surajpur,2025-01,506,6873
Chhattisgarh,Surajpur,2025-02,97,1149
Chhattisgarh,Surajpur,2025-03,67,825
Chhattisgarh,Surajpur,2025-04,73,1166
Chhattisgarh,Surajpur,2025-05,35,387
Chhattisgarh,Surajpur,2025-06,77,631
Chhattisgarh,Surajpur,2025-07,63,246
Chhattisgarh,Surajpur,2025-08,138,1490
Chhattisgarh,Surajpur,2025-09,110,1229
Chhattisgarh,Surajpur,2025-10,82,1126
Chhattisgarh,Surajpur,2025-11,109,1054
Chhattisgarh,Surajpur,2025-12,99,1035
Chhattisgarh,Surguja,2025-01,2916,32828
Chhattisgarh,Surguja,2025-02,133,1881
Chhattisgarh,Surguja,2025-03,147,1239
Chhattisgarh,Surguja,2025-04,154,1595
Chhattisgarh,Surguja,2025-05,88,711
Chhattisgarh,Surguja,2025-06,117,1379
Chhattisgarh,Surguja,2025-07,103,749
Chhattisgarh,Surguja,2025-08,201,2384
Chhattisgarh,Surguja,2025-09,142,1750
Chhattisgarh,Surguja,2025-10,159,1955
Chhattisgarh,Surguja,2025-11,146,1414
Chhattisgarh,Surguja,2025-12,114,1882
Chhattisgarh,Uttar Bastar Kanker,2025-01,105,1155
Chhattisgarh,Uttar Bastar Kanker,2025-02,22,242
Chhattisgarh,Uttar Bastar Kanker,2025-03,27,340
Chhattisgarh,Uttar Bastar Kanker,2025-04,33,396
Chhattisgarh,Uttar Bastar Kanker,2025-05,15,31
Chhattisgarh,Uttar Bastar Kanker,2025-06,30,351
Chhattisgarh,Uttar Bastar Kanker,2025-07,19,72
Chhattisgarh,Uttar Bastar Kanker,2025-08,32,489
Chhattisgarh,Uttar Bastar Kanker,2025-09,29,339
Chhattisgarh,Uttar Bastar Kanker,2025-10,33,340
Chhattisgarh,Uttar Bastar Kanker,2025-11,22,248
Chhattisgarh,Uttar Bastar Kanker,2025-12,47,398
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-01,0,2
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-02,1,6
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-03,3,4
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-04,0,15
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-05,1,7
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-06,0,2
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-07,0,8
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-08,2,7
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09,1,9
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10,2,4
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-11,0,4
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-12,0,4
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-01,147,1127
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-02,21,81
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-03,34,90
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-04,40,107
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-05,36,41
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-06,71,116
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-07,43,68
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-08,32,154
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-09,39,117
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-10,18,88
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-11,47,131
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-12,23,82
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-01,4,33
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-02,2,57
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-03,5,67
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-04,1,32
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-05,2,45
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-06,8,61
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-07,10,42
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-08,2,62
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-09,1,38
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-10,3,45
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-11,3,46
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-12,11,77
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-01,18,317
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-02,4,16
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-03,3,30
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-04,0,24
